BRECU	 Arrivals 	 1,580 
BRECU	 % Penetración 	13.4%
BRECU	 Q's 	 211 
BRECU	 Contracts 	 29 
BRECU	 Average Price 	 18,359 
BRECU	 Closing Rate 	13.7%
BRECU	 VPG 	 2,523 
BRECU	 Volume 	 532,419 
BRERC	 Arrivals 	 1,780 
BRERC	 % Penetración 	13.5%
BRERC	 Q's 	 241 
BRERC	 Contracts 	 50 
BRERC	 Average Price 	 22,740 
BRERC	 Closing Rate 	20.7%
BRERC	 VPG 	 4,718 
BRERC	 Volume 	 1,137,015 
DRCZM	 Arrivals 	 482 
DRCZM	 % Penetración 	14.3%
DRCZM	 Q's 	 69 
DRCZM	 Contracts 	 9 
DRCZM	 Average Price 	 17,226 
DRCZM	 Closing Rate 	13.0%
DRCZM	 VPG 	 2,247 
DRCZM	 Volume 	 155,030 
DRENA	 Arrivals 	 1,594 
DRENA	 % Penetración 	14.7%
DRENA	 Q's 	 234 
DRENA	 Contracts 	 42 
DRENA	 Average Price 	 25,718 
DRENA	 Closing Rate 	17.9%
DRENA	 VPG 	 4,616 
DRENA	 Volume 	 1,080,146 
DREPA	 Arrivals 	 820 
DREPA	 % Penetración 	9.8%
DREPA	 Q's 	 80 
DREPA	 Contracts 	 15 
DREPA	 Average Price 	 20,038 
DREPA	 Closing Rate 	18.8%
DREPA	 VPG 	 3,757 
DREPA	 Volume 	 300,564 
DREPM	 Arrivals 	 1,245 
DREPM	 % Penetración 	15.8%
DREPM	 Q's 	 197 
DREPM	 Contracts 	 35 
DREPM	 Average Price 	 25,653 
DREPM	 Closing Rate 	17.8%
DREPM	 VPG 	 4,558 
DREPM	 Volume 	 897,840 
DRERC	 Arrivals 	 1,338 
DRERC	 % Penetración 	13.0%
DRERC	 Q's 	 174 
DRERC	 Contracts 	 31 
DRERC	 Average Price 	 17,581 
DRERC	 Closing Rate 	17.8%
DRERC	 VPG 	 3,132 
DRERC	 Volume 	 545,002 
DRESC	 Arrivals 	 1,732 
DRESC	 % Penetración 	14.4%
DRESC	 Q's 	 250 
DRESC	 Contracts 	 44 
DRESC	 Average Price 	 13,030 
DRESC	 Closing Rate 	17.6%
DRESC	 VPG 	 2,293 
DRESC	 Volume 	 573,307 
DRETU	 Arrivals 	 743 
DRETU	 % Penetración 	16.7%
DRETU	 Q's 	 124 
DRETU	 Contracts 	 22 
DRETU	 Average Price 	 15,923 
DRETU	 Closing Rate 	17.7%
DRETU	 VPG 	 2,825 
DRETU	 Volume 	 350,310 
DREVC	 Arrivals 	 1,109 
DREVC	 % Penetración 	16.8%
DREVC	 Q's 	 186 
DREVC	 Contracts 	 37 
DREVC	 Average Price 	 15,570 
DREVC	 Closing Rate 	19.9%
DREVC	 VPG 	 3,097 
DREVC	 Volume 	 576,107 
DRJRC	 Arrivals 	 903 
DRJRC	 % Penetración 	14.4%
DRJRC	 Q's 	 130 
DRJRC	 Contracts 	 19 
DRJRC	 Average Price 	 17,573 
DRJRC	 Closing Rate 	14.6%
DRJRC	 VPG 	 2,568 
DRJRC	 Volume 	 333,880 
DRSRC	 Arrivals 	 1,357 
DRSRC	 % Penetración 	9.7%
DRSRC	 Q's 	 132 
DRSRC	 Contracts 	 19 
DRSRC	 Average Price 	 15,125 
DRSRC	 Closing Rate 	14.4%
DRSRC	 VPG 	 2,177 
DRSRC	 Volume 	 287,372 
HYVGI	 Arrivals 	 1,001 
HYVGI	 % Penetración 	9.4%
HYVGI	 Q's 	 94 
HYVGI	 Contracts 	 14 
HYVGI	 Average Price 	 13,316 
HYVGI	 Closing Rate 	14.9%
HYVGI	 VPG 	 1,983 
HYVGI	 Volume 	 186,430 
SEACZ	 Arrivals 	 740 
SEACZ	 % Penetración 	17.4%
SEACZ	 Q's 	 129 
SEACZ	 Contracts 	 26 
SEACZ	 Average Price 	 16,864 
SEACZ	 Closing Rate 	20.2%
SEACZ	 VPG 	 3,399 
SEACZ	 Volume 	 438,459 
SEARM	 Arrivals 	 1,775 
SEARM	 % Penetración 	13.2%
SEARM	 Q's 	 234 
SEARM	 Contracts 	 60 
SEARM	 Average Price 	 34,511 
SEARM	 Closing Rate 	25.6%
SEARM	 VPG 	 8,849 
SEARM	 Volume 	 2,070,669 
SECPM	 Arrivals 	 1,120 
SECPM	 % Penetración 	8.6%
SECPM	 Q's 	 96 
SECPM	 Contracts 	 28 
SECPM	 Average Price 	 24,173 
SECPM	 Closing Rate 	29.2%
SECPM	 VPG 	 7,050 
SECPM	 Volume 	 676,846 
SECTU	 Arrivals 	 796 
SECTU	 % Penetración 	18.2%
SECTU	 Q's 	 145 
SECTU	 Contracts 	 27 
SECTU	 Average Price 	 20,961 
SECTU	 Closing Rate 	18.6%
SECTU	 VPG 	 3,903 
SECTU	 Volume 	 565,949 
SEIIM	 Arrivals 	 278 
SEIIM	 % Penetración 	12.9%
SEIIM	 Q's 	 36 
SEIIM	 Contracts 	 8 
SEIIM	 Average Price 	 35,844 
SEIIM	 Closing Rate 	22.2%
SEIIM	 VPG 	 7,965 
SEIIM	 Volume 	 286,752 
SEMRC	 Arrivals 	 1,695 
SEMRC	 % Penetración 	15.9%
SEMRC	 Q's 	 269 
SEMRC	 Contracts 	 54 
SEMRC	 Average Price 	 22,975 
SEMRC	 Closing Rate 	20.1%
SEMRC	 VPG 	 4,612 
SEMRC	 Volume 	 1,240,644 
SEPBC	 Arrivals 	 1,826 
SEPBC	 % Penetración 	13.6%
SEPBC	 Q's 	 248 
SEPBC	 Contracts 	 41 
SEPBC	 Average Price 	 23,555 
SEPBC	 Closing Rate 	16.5%
SEPBC	 VPG 	 3,894 
SEPBC	 Volume 	 965,752 
SEPDC	 Arrivals 	 2,201 
SEPDC	 % Penetración 	12.8%
SEPDC	 Q's 	 282 
SEPDC	 Contracts 	 77 
SEPDC	 Average Price 	 31,347 
SEPDC	 Closing Rate 	27.3%
SEPDC	 VPG 	 8,559 
SEPDC	 Volume 	 2,413,720 
SEVCU	 Arrivals 	 1,748 
SEVCU	 % Penetración 	9.5%
SEVCU	 Q's 	 166 
SEVCU	 Contracts 	 27 
SEVCU	 Average Price 	 16,648 
SEVCU	 Closing Rate 	16.3%
SEVCU	 VPG 	 2,708 
SEVCU	 Volume 	 449,505 
NOECU	 Arrivals 	 1,088 
NOECU	 % Penetración 	16.2%
NOECU	 Q's 	 176 
NOECU	 Contracts 	 29 
NOECU	 Average Price 	 18,459 
NOECU	 Closing Rate 	16.5%
NOECU	 VPG 	 3,042 
NOECU	 Volume 	 535,323 
CUNIF	 Arrivals 	 1,233 
CUNIF	 % Penetración 	10.6%
CUNIF	 Q's 	 131 
CUNIF	 Contracts 	 18 
CUNIF	 Average Price 	 14,643 
CUNIF	 Closing Rate 	13.7%
CUNIF	 VPG 	 2,012 
CUNIF	 Volume 	 263,565 
CANIA	 Arrivals 	 748 
CANIA	 % Penetración 	12.6%
CANIA	 Q's 	 94 
CANIA	 Contracts 	 16 
CANIA	 Average Price 	 24,306 
CANIA	 Closing Rate 	17.0%
CANIA	 VPG 	 4,137 
CANIA	 Volume 	 388,898 
CANIF	 Arrivals 	 1,427 
CANIF	 % Penetración 	2.7%
CANIF	 Q's 	 38 
CANIF	 Contracts 	 6 
CANIF	 Average Price 	 16,804 
CANIF	 Closing Rate 	15.8%
CANIF	 VPG 	 2,653 
CANIF	 Volume 	 100,826 
CUNIA	 Arrivals 	 688 
CUNIA	 % Penetración 	3.8%
CUNIA	 Q's 	 26 
CUNIA	 Contracts 	 6 
CUNIA	 Average Price 	 17,829 
CUNIA	 Closing Rate 	23.1%
CUNIA	 VPG 	 4,114 
CUNIA	 Volume 	 106,972 
HVPDC	 Arrivals 	 1,299 
HVPDC	 % Penetración 	6.5%
HVPDC	 Q's 	 85 
HVPDC	 Contracts 	 16 
HVPDC	 Average Price 	 17,832 
HVPDC	 Closing Rate 	18.8%
HVPDC	 VPG 	 3,357 
HVPDC	 Volume 	 285,318 
SUCUN	 Arrivals 	 1,225 
SUCUN	 % Penetración 	6.7%
SUCUN	 Q's 	 82 
SUCUN	 Contracts 	 8 
SUCUN	 Average Price 	 16,199 
SUCUN	 Closing Rate 	9.8%
SUCUN	 VPG 	 1,580 
SUCUN	 Volume 	 129,591 
BRCSL	 Arrivals 	 583 
BRCSL	 % Penetración 	9.4%
BRCSL	 Q's 	 55 
BRCSL	 Contracts 	 14 
BRCSL	 Average Price 	 19,019 
BRCSL	 Closing Rate 	25.5%
BRCSL	 VPG 	 4,841 
BRCSL	 Volume 	 266,264 
DRELC	 Arrivals 	 959 
DRELC	 % Penetración 	14.5%
DRELC	 Q's 	 139 
DRELC	 Contracts 	 38 
DRELC	 Average Price 	 21,700 
DRELC	 Closing Rate 	27.3%
DRELC	 VPG 	 5,932 
DRELC	 Volume 	 824,596 
SEPLC	 Arrivals 	 1,605 
SEPLC	 % Penetración 	14.8%
SEPLC	 Q's 	 238 
SEPLC	 Contracts 	 64 
SEPLC	 Average Price 	 17,953 
SEPLC	 Closing Rate 	26.9%
SEPLC	 VPG 	 4,828 
SEPLC	 Volume 	 1,148,988 
ZOCDM	 Arrivals 	 191 
ZOCDM	 % Penetración 	10.5%
ZOCDM	 Q's 	 20 
ZOCDM	 Contracts 	 5 
ZOCDM	 Average Price 	 29,050 
ZOCDM	 Closing Rate 	25.0%
ZOCDM	 VPG 	 7,262 
ZOCDM	 Volume 	 145,249 
SJDIF	 Arrivals 	 1,212 
SJDIF	 % Penetración 	4.3%
SJDIF	 Q's 	 52 
SJDIF	 Contracts 	 9 
SJDIF	 Average Price 	 18,221 
SJDIF	 Closing Rate 	17.3%
SJDIF	 VPG 	 3,154 
SJDIF	 Volume 	 163,986 
DRVPV	 Arrivals 	 803 
DRVPV	 % Penetración 	16.4%
DRVPV	 Q's 	 132 
